March 9  内蒙古县界--线条类型9
0 0 0 0 0 0 0 0 0 0
3  5      1  8421504       1   65535  000 000
121.521  48.165
121.497  48.059
121.282  48.001
37  5      1  8421504       1   65535  000 000
120.575  49.258
120.580  49.190
120.658  49.143
120.659  49.104
120.711  49.091
120.695  49.071
120.733  49.016
120.717  48.990
120.809  48.943
120.800  48.902
120.833  48.884
120.767  48.827
120.868  48.768
120.828  48.635
120.833  48.563
120.864  48.513
120.849  48.482
120.942  48.451
120.985  48.468
120.985  48.468
121.080  48.454
121.111  48.466
121.111  48.466
121.120  48.416
121.158  48.378
121.117  48.338
121.020  48.305
121.006  48.230
121.025  48.177
120.920  48.144
120.892  48.108
120.832  48.119
120.832  48.119
120.804  48.104
120.793  48.056
120.849  48.015
120.841  48.001
8  5      1  8421504       1   65535  000 000
122.741  48.493
122.734  48.424
122.824  48.372
122.915  48.272
122.939  48.163
123.002  48.089
122.992  48.052
123.047  48.000
3  5      1  8421504       1   65535  000 000
123.047  48.000
123.144  47.960
123.291  47.952
2  5      1  8421504       1   65535  000 000
119.937  48.002
120.000  47.903
4  5      1  8421504       1   65535  000 000
121.282  48.001
121.219  47.977
121.222  47.903
121.284  47.848
11  5      1  8421504       1   65535  000 000
120.841  48.001
120.860  47.943
120.919  47.943
120.919  47.943
120.932  47.926
120.828  47.808
120.708  47.811
120.708  47.811
120.652  47.792
120.661  47.691
120.686  47.678
11  5      1  8421504       1   65535  000 000
120.686  47.678
120.793  47.663
120.826  47.686
120.907  47.694
121.046  47.812
121.046  47.812
121.105  47.800
121.194  47.826
121.194  47.826
121.258  47.818
121.284  47.848
3  5      1  8421504       1   65535  000 000
120.000  47.903
120.093  47.785
120.140  47.653
2  5      1  8421504       1   65535  000 000
120.140  47.653
120.169  47.610
6  5      1  8421504       1   65535  000 000
120.686  47.678
120.666  47.649
120.596  47.664
120.596  47.664
120.538  47.632
120.482  47.549
5  5      1  8421504       1   65535  000 000
120.169  47.610
120.258  47.656
120.258  47.656
120.317  47.606
120.482  47.549
2  5      1  8421504       1   65535  000 000
120.169  47.610
120.000  47.544
3  5      1  8421504       1   65535  000 000
120.000  47.544
119.835  47.498
119.807  47.470
5  5      1  8421504       1   65535  000 000
119.476  47.334
119.592  47.353
119.643  47.404
119.741  47.425
119.807  47.470
8  5      1  8421504       1   65535  000 000
120.482  47.549
120.584  47.546
120.575  47.501
120.730  47.381
120.697  47.332
120.573  47.268
120.585  47.237
120.646  47.241
14  5      1  8421504       1   65535  000 000
122.389  47.344
122.240  47.251
122.119  47.211
122.066  47.175
121.989  47.160
121.964  47.191
121.847  47.237
121.856  47.258
121.856  47.258
121.792  47.247
121.741  47.258
121.741  47.258
121.700  47.251
121.636  47.166
6  5      1  8421504       1   65535  000 000
121.396  47.156
121.430  47.181
121.521  47.196
121.521  47.196
121.582  47.168
121.636  47.166
9  5      1  8421504       1   65535  000 000
120.646  47.241
120.727  47.215
120.797  47.151
120.868  47.147
120.954  47.095
121.078  47.143
121.078  47.143
121.257  47.111
121.396  47.156
3  5      1  8421504       1   65535  000 000
121.396  47.156
121.340  47.112
121.309  46.995
2  5      1  8421504       1   65535  000 000
119.903  46.665
119.998  46.598
5  5      1  8421504       1   65535  000 000
119.998  46.598
120.100  46.554
120.064  46.508
120.050  46.424
120.000  46.424
2  5      1  8421504       1   65535  000 000
121.947  46.294
122.001  46.265
6  5      1  8421504       1   65535  000 000
121.915  46.183
121.939  46.199
121.919  46.230
121.854  46.245
121.883  46.288
121.947  46.294
3  5      1  8421504       1   65535  000 000
121.915  46.183
121.963  46.149
121.987  46.069
35  5      1  8421504       1   65535  000 000
121.309  46.995
121.226  46.990
121.182  46.929
121.386  46.934
121.386  46.934
121.415  46.910
121.450  46.911
121.450  46.911
121.477  46.890
121.452  46.873
121.448  46.807
121.416  46.794
121.445  46.777
121.472  46.700
121.585  46.692
121.671  46.654
121.716  46.580
121.755  46.568
121.777  46.531
121.902  46.495
121.957  46.446
122.104  46.458
122.104  46.458
122.262  46.398
122.311  46.407
122.311  46.407
122.512  46.382
122.656  46.437
122.656  46.437
122.693  46.389
122.760  46.352
122.740  46.313
122.777  46.188
122.762  46.136
122.780  46.068
5  5      1  8421504       1   65535  000 000
121.987  46.069
121.916  46.037
121.858  46.041
121.858  46.041
121.838  46.023
12  5      1  8421504       1   65535  000 000
120.000  46.424
119.938  46.429
119.938  46.429
119.878  46.368
119.886  46.344
119.942  46.323
119.888  46.278
119.918  46.239
119.917  46.182
119.833  46.009
119.868  45.979
120.002  45.958
12  5      1  8421504       1   65535  000 000
122.001  46.265
122.062  46.289
122.062  46.289
122.121  46.274
122.099  46.216
122.217  46.153
122.248  46.105
122.296  46.092
122.314  46.044
122.294  46.007
122.174  45.997
122.061  45.927
9  5      1  8421504       1   65535  000 000
120.002  45.958
120.025  45.962
120.025  45.962
120.080  45.920
120.164  45.956
120.164  45.956
120.378  45.936
120.599  45.892
120.736  45.843
18  5      1  8421504       1   65535  000 000
121.752  45.813
121.648  45.903
121.648  45.903
121.535  45.858
121.390  45.891
121.364  45.952
121.364  45.952
121.300  45.945
121.256  46.018
121.181  46.027
121.130  46.061
121.124  46.089
121.124  46.089
121.059  46.075
121.066  45.993
120.911  45.910
120.796  45.892
120.736  45.843
3  5      1  8421504       1   65535  000 000
120.002  45.958
119.987  45.792
119.864  45.651
4  5      1  8421504       1   65535  000 000
119.996  45.619
119.941  45.652
119.941  45.652
119.864  45.651
8  5      1  8421504       1   65535  000 000
119.864  45.651
119.712  45.588
119.669  45.543
119.664  45.472
119.592  45.446
119.505  45.376
119.320  45.283
119.235  45.285
29  5      1  8421504       1   65535  000 000
120.736  45.843
120.837  45.801
120.918  45.740
120.961  45.746
120.961  45.746
121.043  45.678
121.101  45.659
121.115  45.601
121.167  45.596
121.233  45.518
121.352  45.525
121.352  45.525
121.324  45.494
121.353  45.476
121.377  45.484
121.377  45.484
121.358  45.450
121.396  45.439
121.420  45.382
121.473  45.360
121.508  45.286
121.699  45.229
121.736  45.268
121.736  45.268
121.797  45.237
121.906  45.225
121.966  45.231
122.037  45.280
122.146  45.296
5  5      1  8421504       1   65535  000 000
119.235  45.285
119.316  45.238
119.394  45.254
119.394  45.254
119.498  45.177
2  5      1  8421504       1   65535  000 000
119.498  45.177
119.606  45.119
5  5      1  8421504       1   65535  000 000
115.172  45.390
115.239  45.269
115.317  45.227
115.350  45.104
115.372  45.097
3  5      1  8421504       1   65535  000 000
115.372  45.097
115.400  45.060
115.489  45.018
5  5      1  8421504       1   65535  000 000
119.498  45.177
119.493  45.127
119.376  45.076
119.314  45.069
119.293  45.006
3  5      1  8421504       1   65535  000 000
119.293  45.006
119.281  44.982
119.211  44.949
2  5      1  8421504       1   65535  000 000
115.489  45.018
115.731  44.878
24  5      1  8421504       1   65535  000 000
116.427  44.866
116.480  44.877
116.521  45.023
116.550  45.044
116.550  45.044
116.993  45.042
117.224  45.073
117.285  45.102
117.285  45.102
117.339  45.099
117.935  45.373
117.935  45.373
118.225  45.369
118.327  45.295
118.443  45.245
118.616  45.251
118.711  45.293
118.711  45.293
118.831  45.284
118.895  45.336
118.979  45.344
118.979  45.344
119.138  45.329
119.235  45.285
5  5      1  8421504       1   65535  000 000
119.606  45.119
119.655  45.095
119.746  44.922
119.842  44.893
119.999  44.781
5  5      1  8421504       1   65535  000 000
119.211  44.949
119.224  44.868
119.266  44.840
119.208  44.827
119.149  44.779
3  5      1  8421504       1   65535  000 000
119.999  44.781
120.066  44.728
120.072  44.683
7  5      1  8421504       1   65535  000 000
115.731  44.878
115.940  44.674
116.011  44.682
116.073  44.793
116.283  44.937
116.283  44.937
116.427  44.866
6  5      1  8421504       1   65535  000 000
115.731  44.878
115.612  44.821
115.526  44.808
115.472  44.753
115.484  44.678
115.446  44.653
3  5      1  8421504       1   65535  000 000
115.446  44.653
115.393  44.593
115.339  44.573
